,p.HS1,p.S1H,p.S1S2,p.HD,rr.S1,rr.S2,c.H,c.S1,c.S2,c.Trt,u.H,u.S1,u.S2,u.Trt,Cost_NoTrt,Cost_Trt,QALY_NoTrt,QALY_Trt,ICER
7410,0.151709539,0.456108287,0.106879383,0.004871784,3.003509619,10.37562865,2014.908419,4038.031331,14347.8245,11763.74595,0.990159178,0.743215956,0.502775856,0.949969294,76810.02892,144800.4041,15.51307832,16.12133491,111779.1029
7411,0.142365208,0.499155333,0.106652432,0.003920207,3.014018878,10.0418031,1697.399417,4128.104357,15377.5418,12332.28801,0.991327211,0.741977886,0.475418584,0.946440613,76898.38985,146021.6141,16.08160449,16.64519697,122647.5288
7412,0.141362349,0.529017934,0.107233309,0.005391794,2.960633187,10.12781901,1981.893226,4159.522364,14469.55073,11648.0165,0.992004537,0.748007718,0.489149718,0.92194143,71271.99761,129829.6519,15.79085141,16.24235057,129696.0421
7413,0.19291482,0.496475517,0.09083541,0.006345877,2.973618763,10.14348962,2048.453977,3937.772319,14856.7803,12541.80415,0.988385748,0.778697367,0.475435435,0.963027198,73640.81436,147233.4933,14.91639958,15.5336526,119226.1142
7414,0.144019961,0.437684431,0.104484402,0.008679278,2.958176488,10.10959485,1907.97163,4042.654546,14395.37791,11306.16721,0.997786453,0.775298678,0.526814168,0.946696416,62762.5045,116973.9718,14.75550551,15.22479061,115519.2597
7415,0.105958598,0.539294711,0.104579218,0.002696259,2.949814562,9.998324872,1847.869672,3845.588998,14781.25153,11476.29762,0.997894361,0.774399006,0.574478068,0.983723711,71245.39729,124457.2501,17.67513672,18.13963741,114557.102
7416,0.133152482,0.5098914,0.096976389,0.006578834,2.964983501,9.753267186,1948.499308,4333.169723,15930.48055,13210.46118,0.996919622,0.736716362,0.445782703,0.944312738,68572.18931,129266.365,15.63048753,16.1622937,114128.3791
7417,0.134305026,0.487098536,0.110584425,0.004660916,3.027957946,10.0628554,1661.492545,4213.916502,14453.20028,11846.67976,0.99318263,0.761984711,0.510929455,0.94978799,70821.52651,133470.5878,16.05321076,16.54560122,127234.5133
7418,0.146692066,0.539820758,0.123747485,0.005138506,2.984566649,9.890289226,1793.875861,4230.935378,14983.36863,11706.17542,0.987338806,0.765540924,0.488014243,0.986590051,75285.94604,137927.9912,15.57766607,16.13636416,112121.4588
7419,0.132325795,0.507545137,0.127772143,0.004933229,2.947165481,10.09230694,1791.90169,4484.474314,14736.79286,11408.40495,0.985878093,0.767265709,0.555259353,0.93938499,74878.82637,134493.7845,15.89998548,16.31669536,143061.0624
7420,0.180543733,0.488503178,0.10933324,0.007872611,2.952447647,10.33086037,1863.270318,4507.741298,13715.77698,12085.39081,0.998470676,0.774329215,0.488809505,0.950353825,67441.55988,133127.8753,14.41659562,14.9415784,125120.8957
